ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
2020-01-01,48,20003,619,Employed,High School,28,12267,60,Married,2,Mortgage,463,0.17160608487714904,3,0,0.27775833624956253,0,Auto,0,74,37,1075,15473,222813,25941,1666.9166666666667,0.7695282875222191,5,196872,0.15,0.13946834908517566,285,0.44873269009648553,54.88369666247313,0
2020-01-02,40,90198,637,Employed,Doctorate,18,23491,36,Married,2,Rent,658,0.25368737319190354,6,0,0.0875407436971995,0,Debt Consolidation,2,83,82,745,185,107751,5988,7516.5,0.8539670491632614,37,101763,0.14673491,0.13845400004800054,801,0.19410629947448946,62.27296991754058,0
2020-01-03,50,155727,540,Employed,Master,25,55898,60,Single,0,Own,561,0.19659323531724693,3,1,0.04322949777495232,0,Education,0,90,42,2794,14619,17413,13930,12977.25,0.7092643687285365,71,3483,0.15,0.1449300061867513,1314,0.14448361555799571,62.760993741511,0
2020-01-04,61,63951,584,Self-Employed,Master,37,5385,24,Divorced,2,Rent,510,0.2733175223488668,8,0,0.09569826898719332,0,Auto,0,76,77,5541,1056,321999,14643,5329.25,0.9409881775998207,14,307356,0.15,0.14056931759645466,258,0.1441103344748323,43.99909697829706,0
2020-01-05,38,27193,547,Employed,Bachelor,18,9034,36,Single,0,Mortgage,548,0.043828079142755015,1,0,0.2418269407568124,0,Home,0,69,98,230,272,89044,20876,2266.0833333333335,0.8934251066574346,5,68168,0.15,0.1388551842928406,308,0.37774427242305003,63.01418796382252,0
2020-01-06,38,44381,624,Employed,High School,13,12257,48,Married,0,Mortgage,1112,0.37131160255823054,3,0,0.3006692052905523,0,Home,0,63,75,10666,291,1256950,20130,3698.4166666666665,0.7781600967478707,6,1236820,0.15,0.13817014101638064,333,0.39070773529212954,36.90594153770394,1
2020-01-07,62,21605,620,Employed,High School,39,7267,36,Married,1,Mortgage,630,0.14546432222231215,2,2,0.3499190002314279,0,Home,0,69,48,84,221,19434,1003,1800.4166666666667,0.6857725635281136,39,18431,0.15,0.13647648622788003,247,0.4871094654015274,53.857684907884654,0
2020-01-08,51,119259,579,Employed,Master,29,25948,36,Married,1,Other,1035,0.29620016867640026,7,3,0.10414308354086484,0,Other,0,82,36,3488,2998,83624,22312,9938.25,0.8887859068244264,9,61312,0.15,0.15,899,0.19460166528312328,56.70277533732174,0
2020-01-09,35,106188,493,Unemployed,Associate,16,16942,108,Single,2,Rent,847,0.7195643033901775,3,0,0.0957170301729009,0,Other,0,89,155,5030,1992,631550,92929,8849.0,0.6830350312293033,55,538621,0.15,0.1352761557570767,272,0.12645496666289976,66.64310974945003,0
2020-01-10,49,28155,606,Employed,High School,26,44538,36,Single,1,Own,491,0.05391673445602375,3,3,0.20927011188066064,0,Auto,0,94,121,197,726,37217,10637,2346.25,0.9214877632669282,45,26580,0.15,0.13539354009350973,1512,0.8537027171017582,89.34083389709996,0
2020-01-11,35,102996,623,Employed,Bachelor,13,9993,48,Married,0,Rent,415,0.21053642346869403,1,0,0.04835139228707911,0,Home,0,60,73,28866,770,58895,6958,8583.0,0.7658556799161765,107,51937,0.15,0.142331881768561,274,0.08027496213445183,25.65781424257495,1
2020-01-12,35,50551,512,Employed,Associate,12,11007,96,Married,2,Own,1001,0.3532778048927748,3,1,0.23762141203932663,0,Home,0,89,1,955,825,205796,11850,4212.583333333333,0.6365270589023361,10,193946,0.15,0.14731006989885814,195,0.2839112975015331,74.92459526736152,0
2020-01-13,45,108446,631,Employed,Bachelor,26,22110,72,Single,0,Mortgage,1050,0.1966788695596043,5,1,0.1161868579753979,0,Auto,0,88,27,472,558,47661,18758,9037.166666666666,0.9815990910401853,50,28903,0.1497211,0.14939015277189593,466,0.16775169208638402,48.19209306725322,1
2020-01-14,18,21483,596,Employed,Associate,0,47591,60,Divorced,1,Mortgage,600,0.10176209213011145,1,2,0.33514872224549647,0,Auto,0,87,34,908,1433,76433,7123,1790.25,0.7783553039940835,34,69310,0.15,0.15,1132,0.9674626448819997,92.32547372622203,0
2020-01-15,19,48728,636,Employed,Bachelor,0,16012,60,Single,0,Other,718,0.31146392144645246,6,0,0.17681825644393367,0,Home,0,75,17,379,979,46433,11878,4060.6666666666665,0.8651808495888204,38,34555,0.14716012,0.15,380,0.2703989492694139,44.033034579640116,0
2020-01-16,34,54501,610,Employed,Master,8,55102,36,Married,1,Mortgage,308,0.14075496880282623,4,2,0.06781526944459734,0,Home,0,79,66,983,3493,748607,20045,4541.75,0.7004806474902349,8,728562,0.15,0.15,1910,0.48835801177960037,56.25629851076076,0
2020-01-17,28,18000,542,Employed,High School,6,33374,36,Married,5,Other,806,0.16316962510262534,4,0,0.5373333333333333,0,Education,0,77,65,5939,2399,105089,12870,1500.0,0.8484749701558841,0,92219,0.15,0.15,1156,1.308,97.53192317879193,0
2020-01-18,46,35407,604,Employed,Associate,21,21354,84,Single,0,Mortgage,528,0.2546939649376039,2,1,0.1789476657158189,0,Auto,0,85,97,823,297,94912,17370,2950.5833333333335,0.6650390631385973,2,77542,0.15,0.15,412,0.3185810715395261,57.92060354063952,0
2020-01-19,30,44417,507,Employed,Associate,6,5662,96,Single,1,Own,579,0.38846989893188716,3,0,0.15642659342143775,0,Auto,0,88,21,7574,6434,25779,20623,3701.4166666666665,0.9033790906697496,38,5156,0.15,0.14809389319136615,100,0.18344327622306775,74.63809995513752,0
2020-01-20,23,27106,595,Employed,Doctorate,0,20974,72,Married,0,Mortgage,1004,0.02226477492311028,3,1,0.4444772375119899,0,Debt Consolidation,0,92,12,1422,648,992037,3222,2258.8333333333335,0.754532559626057,1,988815,0.15,0.15,443,0.6405961779679775,71.08273596658846,0
2020-01-21,61,29676,623,Employed,Associate,41,13091,36,Married,2,Mortgage,530,0.32049789110172033,2,1,0.21431459765467045,0,Auto,0,79,24,2992,1190,42267,5700,2473.0,0.642341520860399,4,36567,0.15,0.14665688792090592,451,0.3966841892438334,53.41101133212609,0
2020-01-22,39,21352,549,Employed,Associate,18,24228,48,Married,1,Rent,1067,0.07370043078738786,8,0,0.5996627950543275,0,Auto,0,71,44,1389,1195,44989,14303,1779.3333333333333,0.8179511241821242,37,30686,0.15,0.15,674,0.9784563506931435,91.82470783341141,0
2020-01-23,42,32924,518,Employed,Bachelor,18,42725,36,Single,0,Own,699,0.06062268669574617,2,1,0.25476855789090025,0,Auto,0,97,27,803,763,5991,4792,2743.6666666666665,0.8495192523982485,8,1199,0.15,0.15,1481,0.7945571619487305,100.71759089883525,0
2020-01-24,23,35680,602,Self-Employed,Associate,2,23769,60,Single,0,Rent,1784,0.020280320844573096,4,2,0.6,0,Debt Consolidation,0,80,1,4577,985,99956,15672,2973.3333333333335,0.67765248131434,17,84284,0.15,0.15,565,0.7900224215246636,78.29769578552197,0
2020-01-25,34,46529,582,Unemployed,Doctorate,13,16731,36,Married,2,Rent,271,0.47001839795562994,2,2,0.06989189537707667,0,Home,0,70,84,1866,2382,56007,13167,3877.4166666666665,0.8488536090525858,10,42840,0.15,0.15,579,0.21921812203142127,52.7956868656007,0
2020-01-26,43,111968,460,Employed,Master,21,24466,24,Single,0,Other,964,0.2707795265641007,4,0,0.10331523292369249,0,Auto,0,92,65,4787,480,386992,9278,9330.666666666666,0.964218612980291,40,377714,0.15,0.15,1186,0.2304229779937125,81.77120966317365,0
2020-01-27,27,19065,566,Employed,Bachelor,5,18934,36,Single,1,Mortgage,802,0.13610645834997065,4,1,0.5047993705743509,0,Home,0,87,43,446,1099,126397,6239,1588.75,0.8101917257574389,11,120158,0.15,0.14049863038601698,647,0.9120377655389457,92.70305273642121,0
2020-01-28,46,66404,550,Employed,Bachelor,22,11266,96,Single,1,Own,787,0.4201063792746045,7,1,0.14222034817179688,0,Auto,0,80,80,9422,14061,40881,3561,5533.666666666667,0.9375223093222774,14,37320,0.15,0.14091337234548162,196,0.17763990121077042,61.6273909209599,0
2020-01-29,34,24946,514,Employed,High School,13,12758,48,Single,0,Other,558,0.2650540530057934,0,1,0.268419786739357,0,Other,0,56,66,14816,1461,19121,15296,2078.8333333333335,0.8651835925300679,97,3825,0.15,0.1389145768280907,347,0.4353403351238675,64.63863870695225,0
2020-01-30,38,43338,640,Employed,Bachelor,14,16479,96,Single,0,Mortgage,957,0.18715307070097242,4,2,0.26498684757026164,0,Home,1,76,1,257,244,272450,82867,3611.5,0.6204508552926881,3,189583,0.14516479,0.13213248235998723,278,0.34196317319673264,54.092179405611134,0
2020-01-31,34,61289,631,Employed,Bachelor,11,37847,72,Married,1,Mortgage,416,0.1766862280690931,6,1,0.08145017866175007,0,Home,0,86,115,1197,3819,73873,13710,5107.416666666667,0.9257777786703828,5,60163,0.14987846999999999,0.14298744462379112,785,0.2351482321460621,49.58103626930207,1
2020-02-01,66,18000,574,Employed,Associate,47,55399,72,Single,0,Mortgage,843,0.1582491233902237,3,1,0.562,0,Home,0,79,77,35036,805,110533,15888,1500.0,0.8679288767393516,17,94645,0.15,0.15,1171,1.3426666666666667,100.11715506702492,0
2020-02-02,41,18000,588,Self-Employed,High School,18,47543,72,Single,0,Mortgage,605,0.08437010026007771,5,1,0.4033333333333333,0,Auto,0,89,30,1925,1921,17843,12266,1500.0,0.9090116693958362,23,5577,0.15,0.14108181589979307,982,1.058,100.4325895411377,0
2020-02-03,28,49216,613,Employed,Master,11,50950,48,Married,2,Own,1050,0.31400800842099774,0,1,0.2560143042912874,0,Home,0,91,68,2239,1090,121998,53676,4101.333333333333,0.8588777027932675,20,68322,0.15,0.15,1417,0.6015117035110533,72.79493930242579,0
2020-02-04,52,43095,619,Employed,Associate,31,10498,36,Married,1,Rent,633,0.3910808537604432,4,4,0.1762617473024713,0,Other,0,66,77,251,1600,18857,7989,3591.25,0.7655424309347717,14,10868,0.15,0.14757011252300095,362,0.2770623042116255,43.396177650742956,0
2020-02-05,26,18518,488,Employed,Bachelor,3,55941,36,Married,0,Mortgage,140,0.3375044957592441,2,1,0.09072254023112647,0,Education,0,58,79,4246,1199,34191,13767,1543.1666666666667,0.804017139921182,8,20424,0.15,0.15,1939,1.347229722432228,96.33532691520912,0
2020-02-06,44,93348,607,Employed,High School,22,20653,120,Married,2,Own,795,0.05486975164340087,3,3,0.10219822599305824,0,Home,0,90,76,660,1992,37773,7853,7779.0,0.7788186611570046,26,29920,0.15,0.14302881871229517,324,0.14384882375626687,49.424205041240015,0
2020-02-07,18,18000,485,Employed,Associate,0,19007,36,Married,1,Rent,900,0.22501813181745722,2,1,0.6,0,Auto,0,86,143,347,574,62504,6562,1500.0,0.8116588552866335,45,55942,0.15,0.1431181129184851,652,1.0346666666666666,97.98877931166993,0
2020-02-08,24,34450,623,Employed,Master,4,33709,48,Single,0,Mortgage,597,0.15604172332776167,6,0,0.20795355587808417,0,Auto,0,77,43,12240,87,270616,8768,2870.8333333333335,0.6698746480755746,11,261848,0.15,0.15,938,0.5346879535558781,55.707720456963855,0
2020-02-09,44,81371,614,Employed,Associate,27,13366,48,Single,0,Mortgage,1083,0.23749160102299147,3,0,0.1597129198363053,0,Auto,0,83,43,3101,211,35626,6215,6780.916666666667,0.883664566056883,113,29411,0.15,0.13602209969054677,362,0.21309803246856987,43.155542868665826,0
2020-02-10,51,41241,489,Employed,Bachelor,31,16443,36,Married,0,Own,1218,0.0894937340822411,3,3,0.3544045973666982,0,Education,0,66,45,4211,2202,113444,672,3436.75,0.9325163105334474,53,112772,0.15,0.14007986327787922,562,0.5179311849858151,82.31176124243323,0
2020-02-11,44,21577,505,Employed,High School,20,13879,72,Single,1,Mortgage,897,0.30586379472007363,5,0,0.4988645316772489,0,Home,0,76,28,813,3963,107658,14696,1798.0833333333333,0.8055156418618178,3,92962,0.15,0.15,293,0.6618158224034852,88.26431576852018,0
2020-02-12,40,49842,621,Self-Employed,Associate,19,26101,48,Married,2,Other,375,0.3149427399981881,2,0,0.09028530155290719,0,Education,0,77,48,919,2017,23705,1759,4153.5,0.381198816498165,15,21946,0.15,0.15,726,0.2650776453593355,45.93511862760041,0
2020-02-13,38,37319,535,Employed,Master,15,19495,48,Divorced,0,Rent,1621,0.49694734642906446,3,1,0.5212358316139232,0,Home,0,75,1,3136,332,252571,10022,3109.9166666666665,0.8104765913408818,25,242549,0.15,0.15,542,0.6955170288592942,81.51679431661078,0
2020-02-14,22,43466,546,Employed,Bachelor,0,18066,60,Single,2,Mortgage,353,0.20843582756933063,4,2,0.09745548244604979,0,Auto,0,57,31,751,4867,286969,20179,3622.1666666666665,0.7851249124287023,14,266790,0.15,0.15,429,0.21589288179266555,44.99821769195156,0
2020-02-15,32,63482,563,Self-Employed,Master,9,7714,36,Single,0,Own,960,0.4790203330035746,5,0,0.18146876279890362,0,Home,0,90,60,1780,2272,16170,12936,5290.166666666667,0.7978798250612409,10,3234,0.15,0.1351988581726001,261,0.23080558268485554,65.86719350343067,0
2020-02-16,36,61387,535,Self-Employed,Master,11,30725,72,Married,4,Mortgage,291,0.10156880052511233,1,1,0.05688500822649747,0,Auto,1,90,81,9589,313,19127,8875,5115.583333333333,0.7968696515738861,21,10252,0.15,0.15,649,0.18375226025054164,77.89817285319641,0
2020-02-17,55,124588,600,Employed,Master,33,28092,36,Single,1,Own,308,0.6720060362414086,2,0,0.029665778405624937,0,Education,0,68,143,64920,267,165488,25007,10382.333333333334,0.7766249092433279,3,140481,0.15,0.15,973,0.12338266927794009,40.49931490786757,0
2020-02-18,46,49423,628,Employed,Master,22,24559,84,Married,2,Other,748,0.26344203351603274,1,1,0.18161584687291343,0,Debt Consolidation,0,82,54,14601,548,130853,18519,4118.583333333333,0.8098757540654219,28,112334,0.15,0.15,473,0.29646116180725574,48.208832162383146,1
2020-02-19,19,18856,611,Employed,High School,1,17299,72,Married,5,Mortgage,602,0.2902610203367468,3,1,0.38311412812897755,0,Education,0,80,24,2836,433,39438,3221,1571.3333333333333,0.9891845152068828,4,36217,0.15,0.15,365,0.6154009333899024,69.1083330025837,0
2020-02-20,46,56634,500,Self-Employed,Master,21,60599,84,Single,0,Mortgage,2077,0.4791029661164249,3,5,0.44008899247801675,0,Auto,0,82,67,1752,2410,36792,4764,4719.5,0.8096320829219625,114,32028,0.15,0.15,1169,0.6877847229579405,93.53172810522264,0
2020-02-21,36,18000,523,Employed,High School,16,7946,48,Single,0,Mortgage,445,0.6411634220640184,4,2,0.2966666666666667,0,Debt Consolidation,0,86,16,2955,1019,39106,22452,1500.0,0.8651424907750729,34,16654,0.15,0.13994032621071664,217,0.44133333333333336,80.26676161191905,0
2020-02-22,33,33349,546,Employed,High School,13,23400,36,Single,0,Mortgage,386,0.22273913650570887,6,1,0.13889471948184354,0,Auto,0,68,48,4287,814,108647,29245,2779.0833333333335,0.7972189434434381,20,79402,0.15,0.14449051008858313,804,0.4281987465891031,65.95376148201822,0
2020-02-23,49,31467,555,Employed,High School,28,24601,72,Married,2,Rent,322,0.3128605781470687,6,1,0.12279530937172276,0,Auto,1,79,69,3964,583,388557,310845,2622.25,0.8477865295406622,0,77712,0.15,0.14388588017370826,512,0.31804747831061114,70.70230902595625,0
2020-02-24,55,57597,503,Employed,Associate,30,10493,48,Married,0,Rent,2322,0.11561169837403577,5,0,0.4837751966248242,0,Debt Consolidation,0,79,70,3070,2423,27472,19253,4799.75,0.8843649575097908,66,8219,0.15,0.15,292,0.5446116985259649,84.19619411207047,0
2020-02-25,54,37834,591,Employed,Bachelor,33,23667,84,Married,1,Mortgage,580,0.42131815932811867,5,0,0.18396151609663264,0,Home,1,95,1,2504,642,19745,15796,3152.8333333333335,0.7648910362010289,18,3949,0.15,0.14918021548916197,455,0.3282761537241634,76.30742268438884,0
2020-02-26,31,69909,640,Employed,Associate,10,17831,60,Single,1,Other,1089,0.2933244798662537,5,3,0.18692872162382526,0,Auto,0,92,51,1667,3053,79761,7414,5825.75,0.6902775591040389,4,72347,0.14517830999999998,0.15,424,0.2597090503368665,48.24985497724956,1
2020-02-27,37,28299,568,Employed,High School,16,25086,36,Married,2,Own,800,0.2405476664315914,7,1,0.3392346019293968,0,Home,0,86,86,1774,359,185557,21899,2358.25,0.7933063635231642,6,163658,0.15,0.15,869,0.7077281882752041,86.19435693437782,0
2020-02-28,46,65921,541,Employed,Associate,23,34640,96,Married,2,Rent,404,0.6100076651773867,3,1,0.07354257368668557,0,Auto,0,72,25,5938,1940,85017,35971,5493.416666666667,0.8150619767601411,0,49046,0.15,0.15,621,0.18658697531894236,59.1428223158524,0
2020-02-29,54,36910,546,Employed,Associate,30,39734,24,Married,1,Mortgage,530,0.26271310928477115,2,0,0.17231102682199945,0,Education,1,80,24,937,2477,39223,20572,3075.8333333333335,0.5839648331374998,54,18651,0.15,0.15,1926,0.7984827959902465,103.12427376112582,0
2020-03-01,35,53166,626,Unemployed,Bachelor,9,28296,36,Single,0,Own,757,0.22659127891316475,9,0,0.1708610766279201,0,Home,0,73,53,6788,1880,8668,6934,4430.5,0.8165440891585459,46,1734,0.15,0.14851237869993014,978,0.3916036564721815,54.47696091213755,0
2020-03-02,39,18000,582,Self-Employed,High School,12,16503,24,Married,4,Rent,542,0.11152680218173629,1,1,0.36133333333333334,0,Home,0,88,57,9759,515,53699,12743,1500.0,0.5278976850312447,13,40956,0.15,0.13901746160402623,791,0.8886666666666667,90.52825979343709,0
2020-03-03,27,18000,540,Self-Employed,High School,3,52442,36,Married,1,Mortgage,209,0.2262309538293726,3,1,0.13933333333333334,0,Home,0,57,79,833,1236,353931,36181,1500.0,0.8398575691880639,17,317750,0.15,0.1380957815328022,1787,1.3306666666666667,100.99229063393497,0
2020-03-04,26,22735,594,Self-Employed,High School,3,11963,108,Married,2,Mortgage,1037,0.14513470408308796,5,2,0.5473499010336486,0,Auto,0,64,85,1012,4334,40811,32648,1894.5833333333333,0.8355443528590375,2,8163,0.15,0.15,202,0.6539696503188916,65.45089520244855,0
2020-03-05,52,48273,588,Employed,Associate,32,18005,96,Single,0,Own,2210,0.20183974385799228,3,1,0.5493754272574731,0,Auto,0,58,95,1120,4894,15918,12734,4022.75,0.6096613874285398,15,3184,0.15,0.15,323,0.6296687589335653,62.70970360737737,0
2020-03-06,59,56446,612,Self-Employed,Bachelor,33,22042,72,Single,0,Rent,705,0.19094635277107846,4,2,0.1498777592743507,0,Education,0,93,112,5460,1041,91353,39696,4703.833333333333,0.9315126324369046,7,51657,0.15,0.14863524463753616,464,0.24852071005917162,53.296360522346625,0
2020-03-07,41,34992,591,Employed,Associate,18,37800,36,Married,4,Rent,747,0.19319852422136008,2,0,0.25617283950617287,0,Home,0,85,24,12204,6751,29889,10977,2916.0,0.6935735625137374,12,18912,0.15,0.15,1310,0.7054183813443072,77.33887166414372,0
2020-03-08,55,40377,625,Employed,Associate,33,39461,12,Married,2,Mortgage,816,0.06886301139710824,6,3,0.24251430269708002,0,Debt Consolidation,0,97,45,1882,7094,309073,30668,3364.75,0.9059962815221836,25,278405,0.15,0.15,3561,1.3008395868935285,99.72180241827954,0
2020-03-09,46,60847,529,Employed,Associate,23,17832,36,Married,0,Rent,423,0.3002191070615776,8,0,0.08342235442996368,0,Home,0,95,178,86030,8737,305971,17913,5070.583333333333,0.9453674597822049,39,288058,0.15,0.1368196340287969,606,0.20293523098920244,69.89780512372445,0
2020-03-10,33,89954,558,Employed,Associate,12,31555,48,Married,1,Rent,706,0.2659527519389878,7,3,0.09418147052938168,0,Home,0,67,84,14363,1389,44141,9487,7496.166666666667,0.9723514837623525,5,34654,0.15,0.15,878,0.21130800186762122,48.6605734788905,0
2020-03-11,46,270599,624,Employed,Doctorate,28,21314,36,Married,4,Other,589,0.22992180618871935,2,0,0.026119830450223393,0,Other,0,81,10,2143,366,59702,26210,22549.916666666668,0.9253178562375929,5,33492,0.15,0.1414357785621719,729,0.058448109564336895,38.47198187502691,1
2020-03-12,61,71538,483,Employed,High School,37,18532,84,Married,3,Mortgage,641,0.30220088115428645,1,2,0.10752327434370544,0,Education,0,92,52,3848,2211,35484,27674,5961.5,0.6198651781826288,107,7810,0.15,0.15,357,0.16740753166149458,76.87586262915934,0
2020-03-13,41,18000,587,Employed,Master,16,52288,96,Single,0,Mortgage,727,0.438262938808033,4,6,0.4846666666666667,0,Auto,0,83,20,8295,1502,48440,38752,1500.0,0.7675982139757268,58,9688,0.15,0.15,938,1.11,98.11000530836944,0
2020-03-14,62,106200,595,Employed,Bachelor,38,29879,72,Single,1,Other,574,0.07640850198543699,3,3,0.06485875706214689,0,Home,0,73,65,6500,1751,912287,107244,8850.0,0.896479366612537,1,805043,0.15,0.13920709695141376,614,0.1342372881355932,38.89012992018263,0
2020-03-15,18,39972,579,Employed,High School,0,77969,36,Divorced,0,Own,1634,0.2751895354516821,3,1,0.4905433803662564,0,Education,0,83,37,1235,843,127361,7141,3331.0,0.9178205792381345,30,120220,0.15,0.13735924300566107,2654,1.2873011107775443,103.91531797065737,0
2020-03-16,52,71471,450,Employed,Doctorate,29,46632,36,Married,3,Rent,388,0.4261883893692681,6,0,0.06514530368960837,0,Home,0,68,18,3136,833,68435,54748,5955.916666666667,0.8007278495107555,39,13687,0.15,0.14938948172313768,1615,0.33630423528424114,81.21744878032804,0
2020-03-17,43,79412,578,Employed,Bachelor,20,21024,96,Single,1,Other,678,0.13705493227520282,3,0,0.10245302976880068,0,Home,0,78,14,8099,199,23198,6325,6617.666666666667,0.8088699268777418,7,16873,0.15,0.14903169386505266,376,0.15927063919810608,50.839826545536255,0
2020-03-18,38,55534,620,Employed,Bachelor,15,21138,48,Married,2,Mortgage,1452,0.2763674994270809,0,0,0.3137537364497425,0,Auto,0,54,1,2292,3363,12695,10156,4627.833333333333,0.9584061195303122,13,2539,0.15,0.15,588,0.44081103468145644,45.94203491521912,0
2020-03-19,43,41910,523,Employed,Associate,21,48493,84,Single,0,Own,298,0.06613172912563209,5,1,0.08532569792412312,0,Debt Consolidation,0,64,53,5326,301,367781,210923,3492.5,0.8220982563669887,42,156858,0.15,0.15,935,0.353042233357194,64.12798282440686,0
2020-03-20,18,40495,614,Employed,Bachelor,0,17130,24,Married,1,Mortgage,415,0.19484063307263677,1,0,0.12297814545005556,0,Auto,0,86,62,7184,716,36146,28916,3374.5833333333335,0.9208201115703771,39,7230,0.15,0.13875606290064046,821,0.3662674404247438,57.40845744475542,0
2020-03-21,39,22718,458,Self-Employed,High School,13,27754,96,Married,2,Rent,1135,0.142378841821807,2,1,0.5995246060392639,0,Other,0,52,66,1692,1957,37316,29852,1893.1666666666667,0.8904846227413711,4,7464,0.15,0.15,498,0.8625759309798398,99.15891223776757,0
2020-03-22,46,18000,600,Employed,High School,23,14741,48,Single,0,Own,900,0.16533502349758822,2,1,0.6,0,Home,0,57,41,41606,10859,52465,41972,1500.0,0.8612904998388835,3,10493,0.15,0.15,410,0.8733333333333333,76.08291749214925,0
