ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
2020-01-01,48,20003,619,Employed,High School,28,12267,60,Married,2,Mortgage,463,0.171606084877149,3,0,0.2777583362495625,0,Auto,0,74,37,1075,15473,222813,25941,1666.9166666666667,0.7695282875222191,5,196872,0.15,0.1394683490851756,285,0.4487326900964855,54.88369666247313,0
2020-01-02,40,90198,637,Employed,Doctorate,18,23491,36,Married,2,Rent,658,0.2536873731919035,6,0,0.0875407436971995,0,Debt Consolidation,2,83,82,745,185,107751,5988,7516.5,0.8539670491632614,37,101763,0.14673491,0.1384540000480005,801,0.1941062994744894,62.27296991754058,0
2020-01-03,50,155727,540,Employed,Master,25,55898,60,Single,0,Own,561,0.1965932353172469,3,1,0.0432294977749523,0,Education,0,90,42,2794,14619,17413,13930,12977.25,0.7092643687285365,71,3483,0.15,0.1449300061867513,1314,0.1444836155579957,62.760993741511,0
2020-01-04,61,63951,584,Self-Employed,Master,37,5385,24,Divorced,2,Rent,510,0.2733175223488668,8,0,0.0956982689871933,0,Auto,0,76,77,5541,1056,321999,14643,5329.25,0.9409881775998208,14,307356,0.15,0.1405693175964546,258,0.1441103344748323,43.99909697829706,0
2020-01-05,38,27193,547,Employed,Bachelor,18,9034,36,Single,0,Mortgage,548,0.043828079142755,1,0,0.2418269407568124,0,Home,0,69,98,230,272,89044,20876,2266.083333333333,0.8934251066574346,5,68168,0.15,0.1388551842928406,308,0.37774427242305,63.01418796382252,0
2020-01-06,38,44381,624,Employed,High School,13,12257,48,Married,0,Mortgage,1112,0.3713116025582305,3,0,0.3006692052905523,0,Home,0,63,75,10666,291,1256950,20130,3698.4166666666665,0.7781600967478707,6,1236820,0.15,0.1381701410163806,333,0.3907077352921295,36.90594153770394,1
2020-01-07,62,21605,620,Employed,High School,39,7267,36,Married,1,Mortgage,630,0.1454643222223121,2,2,0.3499190002314279,0,Home,0,69,48,84,221,19434,1003,1800.4166666666667,0.6857725635281136,39,18431,0.15,0.13647648622788,247,0.4871094654015274,53.857684907884654,0
2020-01-08,51,119259,579,Employed,Master,29,25948,36,Married,1,Other,1035,0.2962001686764002,7,3,0.1041430835408648,0,Other,0,82,36,3488,2998,83624,22312,9938.25,0.8887859068244264,9,61312,0.15,0.15,899,0.1946016652831232,56.70277533732174,0
2020-01-09,35,106188,493,Unemployed,Associate,16,16942,108,Single,2,Rent,847,0.7195643033901775,3,0,0.0957170301729009,0,Other,0,89,155,5030,1992,631550,92929,8849.0,0.6830350312293033,55,538621,0.15,0.1352761557570767,272,0.1264549666628997,66.64310974945003,0
2020-01-10,49,28155,606,Employed,High School,26,44538,36,Single,1,Own,491,0.0539167344560237,3,3,0.2092701118806606,0,Auto,0,94,121,197,726,37217,10637,2346.25,0.9214877632669282,45,26580,0.15,0.1353935400935097,1512,0.8537027171017582,89.34083389709996,0
2020-01-11,35,102996,623,Employed,Bachelor,13,9993,48,Married,0,Rent,415,0.210536423468694,1,0,0.0483513922870791,0,Home,0,60,73,28866,770,58895,6958,8583.0,0.7658556799161765,107,51937,0.15,0.142331881768561,274,0.0802749621344518,25.65781424257495,1
2020-01-12,35,50551,512,Employed,Associate,12,11007,96,Married,2,Own,1001,0.3532778048927748,3,1,0.2376214120393266,0,Home,0,89,1,955,825,205796,11850,4212.583333333333,0.6365270589023361,10,193946,0.15,0.1473100698988581,195,0.2839112975015331,74.92459526736152,0
2020-01-13,45,108446,631,Employed,Bachelor,26,22110,72,Single,0,Mortgage,1050,0.1966788695596043,5,1,0.1161868579753979,0,Auto,0,88,27,472,558,47661,18758,9037.166666666666,0.9815990910401852,50,28903,0.1497211,0.1493901527718959,466,0.167751692086384,48.19209306725322,1
2020-01-14,18,21483,596,Employed,Associate,0,47591,60,Divorced,1,Mortgage,600,0.1017620921301114,1,2,0.3351487222454964,0,Auto,0,87,34,908,1433,76433,7123,1790.25,0.7783553039940835,34,69310,0.15,0.15,1132,0.9674626448819996,92.32547372622204,0
