applicant_id,ground_truth,bl_decision,bl_matches_ground,bl_stage_1,bl_stage_2,bl_stage_3,bl_stage_4,bl_time,bl_used_prior_context,bl_error
test_00000,0,REJECTED,1,pass,Good,High,REJECTED,3.487105603002167,False,False
test_00001,1,APPROVED,1,pass,Fair,High,APPROVED,3.4435141924504835,False,False
test_00002,1,APPROVED,1,pass,Fair,Low,APPROVED,3.361141379138685,False,False
test_00003,1,APPROVED,1,pass,Very Good,Very High,APPROVED,3.53370203013771,False,False
test_00004,0,APPROVED,0,pass,Excellent,Medium,APPROVED,3.5460658265752762,False,True
test_00005,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.436208683042367,False,False
test_00006,0,REJECTED,1,pass,Very Good,High,REJECTED,3.4727321614818654,False,False
test_00007,1,APPROVED,1,pass,Good,Medium,APPROVED,3.4400597252487493,False,False
test_00008,1,APPROVED,1,pass,Good,High,APPROVED,3.4143759301772243,False,False
test_00009,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.3654637585715617,False,False
test_00010,0,REJECTED,1,pass,Excellent,High,REJECTED,3.4412135460794597,False,False
test_00011,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.51367691127189,False,False
test_00012,1,APPROVED,1,pass,Good,High,APPROVED,3.353406292217601,False,False
test_00013,0,APPROVED,0,pass,Very Good,Low,APPROVED,3.4664215366360445,False,True
test_00014,0,REJECTED,1,pass,Good,High,REJECTED,3.5261544217453378,False,False
test_00015,0,REJECTED,1,pass,Very Good,High,REJECTED,3.393509886002872,False,False
test_00016,0,APPROVED,0,pass,Fair,Medium,APPROVED,3.3866511729378126,False,True
test_00017,1,REJECTED,0,pass,Fair,High,REJECTED,3.5044553251403885,False,True
test_00018,0,APPROVED,0,pass,Very Good,Medium,APPROVED,3.401017286223859,False,True
test_00019,0,APPROVED,0,pass,Very Good,Very High,APPROVED,3.3883968535121296,False,True
test_00020,1,APPROVED,1,pass,Good,Medium,APPROVED,3.425597850113847,False,False
test_00021,0,REJECTED,1,pass,Very Good,High,REJECTED,3.4285004024540435,False,False
test_00022,0,REJECTED,1,pass,Good,High,REJECTED,3.5248202126033132,False,False
test_00023,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.4736886943867353,False,False
test_00024,0,APPROVED,0,pass,Good,Low,APPROVED,3.431192291267918,False,True
test_00025,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.456877592857153,False,False
test_00026,0,REJECTED,1,pass,Very Good,High,REJECTED,3.540793046665055,False,False
test_00027,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.3726429353219793,False,False
test_00028,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.3915431043449384,False,False
test_00029,0,APPROVED,0,pass,Very Good,High,APPROVED,3.542505741317311,False,True
test_00030,1,APPROVED,1,pass,Good,Medium,APPROVED,3.541464969705441,False,False
test_00031,0,REJECTED,1,pass,Very Good,High,REJECTED,3.3854330842529547,False,False
test_00032,0,APPROVED,0,pass,Excellent,Low,APPROVED,3.37902176342506,False,True
test_00033,1,APPROVED,1,pass,Poor,Low,APPROVED,3.434217026867724,False,False
test_00034,1,APPROVED,1,pass,Very Good,High,APPROVED,3.3599436584975937,False,False
test_00035,1,APPROVED,1,pass,Poor,Low,APPROVED,3.4809807064570277,False,False
test_00036,0,REJECTED,1,pass,Poor,Medium,REJECTED,3.3654992043323486,False,False
test_00037,0,APPROVED,0,pass,Fair,Very High,APPROVED,3.361605925418856,False,True
test_00038,1,APPROVED,1,pass,Good,Medium,APPROVED,3.4470373872417697,False,False
test_00039,0,REJECTED,1,pass,Good,Very High,REJECTED,3.54155732722202,False,False
test_00040,0,REJECTED,1,pass,Fair,Very High,REJECTED,3.435359187212632,False,False
test_00041,0,APPROVED,0,pass,Very Good,Medium,APPROVED,3.4212962317321103,False,True
