applicant_id,ground_truth,ca_decision,ca_matches_ground,ca_stage_1,ca_stage_2,ca_stage_3,ca_stage_4,ca_time,ca_used_prior_context,ca_error
test_00000,0,REJECTED,True,pass,Good,High,REJECTED,6.471776008605957,True,False
test_00001,1,REJECTED,False,pass,Good,High,REJECTED,7.456522226333618,True,False
test_00002,0,REJECTED,True,pass,Good,Very High,REJECTED,6.642033576965332,True,False
test_00003,0,REJECTED,True,pass,Good,High,REJECTED,6.1735289096832275,True,False
test_00004,0,REJECTED,True,pass,Good,High,REJECTED,6.7317116260528564,True,False
test_00005,0,REJECTED,True,pass,Good,High,REJECTED,6.386051893234253,True,False
test_00006,0,REJECTED,True,pass,Good,Very High,REJECTED,6.494515419006348,True,False
test_00007,0,APPROVED,False,pass,Good,High,APPROVED,6.822120904922485,True,False
test_00008,0,REJECTED,True,pass,Good,Very High,REJECTED,7.045771837234497,True,False
test_00009,0,REJECTED,True,pass,Good,Very High,REJECTED,6.581807374954224,True,False
test_00010,0,REJECTED,True,fail,Good,High,REJECTED,7.3437418937683105,True,False
test_00011,0,REJECTED,True,pass,Good,High,REJECTED,6.754965305328369,True,False
test_00012,0,APPROVED,False,pass,Good,High,APPROVED,7.036710023880005,True,False
test_00013,0,REJECTED,True,pass,Good,Very High,REJECTED,7.189230918884277,True,False
test_00014,0,APPROVED,False,pass,Good,High,APPROVED,6.600815773010254,True,False
test_00015,0,REJECTED,True,fail,Good,Medium,REJECTED,6.9613261222839355,True,False
test_00016,0,REJECTED,True,fail,Good,High,REJECTED,7.61849570274353,True,False
test_00017,0,REJECTED,True,pass,Good,Very High,REJECTED,7.37632942199707,True,False
test_00018,0,REJECTED,True,pass,Good,High,REJECTED,6.688523292541504,True,False
test_00019,1,REJECTED,False,pass,Good,High,REJECTED,6.433323383331299,True,False
test_00020,1,APPROVED,True,pass,Good,Very High,APPROVED,6.634845972061157,True,False
test_00021,0,REJECTED,True,pass,Good,Very High,REJECTED,6.501295328140259,True,False
test_00022,0,REJECTED,True,pass,Good,High,REJECTED,5.7623045444488525,True,False
test_00023,0,REJECTED,True,pass,Good,Very High,REJECTED,6.717496633529663,True,False
test_00024,0,REJECTED,True,pass,Good,Very High,REJECTED,6.482043504714966,True,False
test_00025,0,REJECTED,True,fail,Good,High,REJECTED,6.819862604141235,True,False
test_00026,0,REJECTED,True,pass,Good,Very High,REJECTED,6.780730724334717,True,False
test_00027,0,REJECTED,True,pass,Good,Very High,REJECTED,7.399674892425537,True,False
test_00028,0,REJECTED,True,pass,Good,High,REJECTED,6.349081516265869,True,False
